,incident_id,incident_date,state,city_county,street_address,killed,injured,full_address,lat,long
192,2053346,"July 4, 2021",Texas,Dallas,8200  Towns St,3,3,"8200  Towns St, Dallas Texas",32.916699,-96.761767
193,2053786,"July 4, 2021",Missouri,Kansas City,E 43rd St and Indiana Ave,0,4,"E 43rd St and Indiana Ave, Kansas City Missouri",Not Found,Not Found
194,2053365,"July 4, 2021",Texas,Dallas,3700 Dixon Ave,0,5,"3700 Dixon Ave, Dallas Texas",32.7618336,-96.73688545540094
195,2052353,"July 4, 2021",Texas,Fort Worth,3400  Horne St,0,8,"3400  Horne St, Fort Worth Texas",32.727247,-97.408066
196,2053563,"July 4, 2021",Illinois,Rantoul,400  S Maplewood Dr,0,5,"400  S Maplewood Dr, Rantoul Illinois",40.308632,-88.13659
197,2052058,"July 3, 2021",North Carolina,Chadbourn,Broadway Rd,3,1,"Broadway Rd, Chadbourn North Carolina",34.3119672,-78.8453073
198,2051763,"July 3, 2021",Pennsylvania,Lancaster,50  W Orange St,0,4,"50  W Orange St, Lancaster Pennsylvania",40.146343956952386,-76.60112909974448
199,2052471,"July 3, 2021",Georgia,Swainsboro,229 S Main St,1,3,"229 S Main St, Swainsboro Georgia",32.595277857142854,-82.33245514285714
200,2052346,"July 3, 2021",Illinois,Chicago,1000  W 89th St,0,4,"1000  W 89th St, Chicago Illinois",41.732537,-87.648556
201,2050836,"July 2, 2021",Virginia,Norfolk,923 Madison Ave,0,4,"923 Madison Ave, Norfolk Virginia",36.85093,-76.264902
202,2051190,"July 2, 2021",Pennsylvania,Philadelphia,7700  Ogontz Ave,1,4,"7700  Ogontz Ave, Philadelphia Pennsylvania",40.0708781,-75.1576859
203,2050972,"July 2, 2021",Illinois,Champaign,704 N Hickory St,1,4,"704 N Hickory St, Champaign Illinois",40.12235275510204,-88.24260506122448
204,2050593,"July 1, 2021",Illinois,Chicago,6500  S Halsted St,0,7,"6500  S Halsted St, Chicago Illinois",41.8514189,-87.6464536
205,2050151,"July 1, 2021",South Carolina,Spartanburg,225 Amelia St,2,4,"225 Amelia St, Spartanburg South Carolina",34.962914,-81.95021440992085
206,2050353,"July 1, 2021",Virginia,Chesapeake,1200  Seaboard Ave,2,2,"1200  Seaboard Ave, Chesapeake Virginia",36.815887,-76.270927
207,2049419,"June 30, 2021",Illinois,Chicago,2200  S Millard Ave,0,4,"2200  S Millard Ave, Chicago Illinois",41.851524,-87.716325
