,index,incident_id,incident_date,state,city_county,street_address,killed,injured,full_address,lat,long
143,143,1754613,4-Aug-20,California,Beverly Hills,13200 Mulholland Dr,1,4,"13200 Mulholland Dr, Beverly Hills California",34.1270274,-118.4207777
144,144,1750611,30-Jul-20,Florida,Tampa,I-275 and Westshore Blvd,0,5,"I-275 and Westshore Blvd, Tampa Florida",27.9574141,-82.5354588
145,145,1750548,30-Jul-20,Florida,Miami Gardens,16701 NW 42 Ave,0,5,"16701 NW 42 Ave, Miami Gardens Florida",25.9261193,-80.2682411
146,146,1746658,26-Jul-20,Texas,Mount Enterprise,1039 FM 1798,0,4,"1039 FM 1798, Mount Enterprise Texas",31.9941387,-94.72889
147,147,1746430,25-Jul-20,Colorado,Denver,East 33rd Ave and Hudson St,2,3,"East 33rd Ave and Hudson St, Denver Colorado",39.7637987,-104.9240282
148,148,1744407,24-Jul-20,Georgia,Atlanta,Sunset Ave NW and Lester St NW,2,2,"Sunset Ave NW and Lester St NW, Atlanta Georgia",33.7588545,-84.409949
149,149,1743168,23-Jul-20,Virginia,Fairfield,3700  Meadowbridge Rd,1,3,"3700  Meadowbridge Rd, Fairfield Virginia",37.8792991,-79.2894783
150,150,1744332,23-Jul-20,Illinois,Chicago,120th St and Prairie Ave,2,4,"120th St and Prairie Ave, Chicago Illinois",41.6762837,-87.6165377
151,151,1740615,20-Jul-20,Illinois,Chicago,S Lawndale Ave and W Douglas Blvd,0,5,"S Lawndale Ave and W Douglas Blvd, Chicago Illinois",41.862362,-87.7177384
152,152,1739920,19-Jul-20,Michigan,Detroit,McKinney St and Meuse St,1,3,"McKinney St and Meuse St, Detroit Michigan",42.421886,-82.942038
153,153,1739571,19-Jul-20,Nebraska,Omaha,28th St and T Ave,0,8,"28th St and T Ave, Omaha Nebraska",41.2055686,-95.9549963
154,154,1739434,19-Jul-20,Illinois,Peoria,NE Water St and Hamilton Blvd,0,13,"NE Water St and Hamilton Blvd, Peoria Illinois",40.6906935,-89.5862443
155,155,1739097,17-Jul-20,Ohio,Columbus,E 6th Ave and Summit St,0,4,"E 6th Ave and Summit St, Columbus Ohio",39.9890927,-83.0018846
156,156,1736508,16-Jul-20,Tennessee,Nashville,S 7th St and Sylvan St,0,5,"S 7th St and Sylvan St, Nashville Tennessee",36.1681686,-86.7572402
157,157,1735326,15-Jul-20,New York,Brooklyn,President St and Franklin Ave,1,5,"President St and Franklin Ave, Brooklyn New York",40.668902,-73.958611
158,158,1735573,14-Jul-20,Missouri,Saint Joseph,S 18th St and Charles St,0,5,"S 18th St and Charles St, Saint Joseph Missouri",39.7650532,-94.8387482
159,159,1735470,14-Jul-20,North Carolina,Durham,200 Block of S Benjamine St,0,8,"200 Block of S Benjamine St, Durham North Carolina",35.9852642,-78.8687352
160,160,1732993,12-Jul-20,New York,Brooklyn,Madison St and Marcus Garvey Blvd,1,3,"Madison St and Marcus Garvey Blvd, Brooklyn New York",40.6861038,-73.9386654
161,161,1732532,12-Jul-20,Mississippi,Como,2965 Hunter Chapel Road,2,4,"2965 Hunter Chapel Road, Como Mississippi",34.5531485,-89.8807507
162,162,1727743,7-Jul-20,Virginia,Alexandria,7900  Janna Lee Ave,0,5,"7900  Janna Lee Ave, Alexandria Virginia",38.7461032,-77.0947807
163,163,1728683,7-Jul-20,New Jersey,Paterson,Harrison St and Carroll St,4,3,"Harrison St and Carroll St, Paterson New Jersey",40.922841,-74.1615745
164,164,1725690,5-Jul-20,Georgia,Atlanta,200  Auburn Ave,2,13,"200  Auburn Ave, Atlanta Georgia",33.7557353,-84.3811481
165,165,1725946,5-Jul-20,Missouri,Columbia,Volunteer Dr and Grace Ln,2,3,"Volunteer Dr and Grace Ln, Columbia Missouri",38.9503079,-92.2559381
166,166,1725635,5-Jul-20,Pennsylvania,Ephrata,6 Blackberry Ln,0,4,"6 Blackberry Ln, Ephrata Pennsylvania",40.184744,-76.15222
