Incident ID,State,City Or County,Address,# Killed,# Injured,Date,Year,Latitude,Longitude
1582197,New York,Buffalo,50 block of Henrietta Ave,1,3,December 29, 2019,42.88023,-78.878738
1418548,New York,Buffalo,2081 Niagara St,0,4,June 9, 2019,42.88023,-78.878738
1581590,California,Modesto,1900 block of Vernon Ave,1,3,December 27, 2019,37.661388,-120.994446
1581103,Texas,Houston,500 block of Smart St,2,7,December 27, 2019,29.749907,-95.358421
1541774,Texas,Houston,5000 block of Northridge Dr,1,4,November 4, 2019,29.749907,-95.358421
1486232,Texas,Houston,4900 block of Southwind St,3,2,August 23, 2019,29.749907,-95.358421
1481989,Texas,Houston,12500 block of Mylla St,0,6,August 17, 2019,29.749907,-95.358421
1445066,Texas,Houston,5901 Royal Palms St,0,4,July 11, 2019,29.749907,-95.358421
1332429,Texas,Houston,12800 block of Eastbrook Dr,2,2,February 21, 2019,29.749907,-95.358421
1314289,Texas,Houston,7815 Harding St,2,5,January 28, 2019,29.749907,-95.358421
1305294,Texas,Houston,7041 Sherman St,3,2,January 19, 2019,29.749907,-95.358421
1579889,California,Oakland,2100 block of 34th Ave,0,4,December 25, 2019,37.804363,-122.271111
1504012,California,Oakland,38th Ave and MacArthur Blvd,1,4,September 14, 2019,37.804363,-122.271111
1435804,California,Oakland,3000 block of Brookdale Ave,0,4,June 30, 2019,37.804363,-122.271111
1338860,California,Oakland,316 14th St,0,4,March 3, 2019,37.804363,-122.271111
1337498,California,Oakland,9755 Edes Ave,1,3,February 28, 2019,37.804363,-122.271111
1579856,Virginia,Richmond,1800 E Main St,1,3,December 25, 2019,37.54129,-77.434769
1554446,California,Richmond,20th St and Roosevelt Ave,0,4,November 20, 2019,37.54129,-77.434769
1475361,Virginia,Richmond,6346 Midlothian Turnpike,0,4,August 10, 2019,37.54129,-77.434769
1428229,California,Richmond,700 block of 14th St,0,5,June 21, 2019,37.54129,-77.434769
1579266,Louisiana,New Orleans,6400 block of General Meyer Ave,0,4,December 24, 2019,29.951065,-90.071533
1567231,Louisiana,New Orleans,3801 Washington Ave,1,4,December 8, 2019,29.951065,-90.071533
1561966,Louisiana,New Orleans,2000 block of N Dorgenois St,2,2,December 1, 2019,29.951065,-90.071533
1561734,Louisiana,New Orleans,700 block of Canal St,0,12,December 1, 2019,29.951065,-90.071533
1509411,Louisiana,New Orleans,Poland Ave and St. Claude Ave,0,4,September 21, 2019,29.951065,-90.071533
1508859,Louisiana,New Orleans,Canal Blvd and City Park Ave,1,5,September 20, 2019,29.951065,-90.071533
1393960,Louisiana,New Orleans,2100 block of 4th St,0,4,May 13, 2019,29.951065,-90.071533
1329075,Louisiana,New Orleans,Tulane Ave and Elk Pl,1,5,February 17, 2019,29.951065,-90.071533
1594317,Illinois,Joliet,1200 block of Cutter Ave,0,5,December 24, 2019,41.520557,-88.150558
1579220,North Carolina,High Point,1226 Montlieu Ave,0,6,December 24, 2019,35.970554,-79.997498
1577577,Maryland,Baltimore,225 Park Ave,0,7,December 22, 2019,39.299236,-76.609383
1537044,Maryland,Baltimore,4700 block of Liberty Heights Ave,1,3,October 29, 2019,39.299236,-76.609383
1536787,Maryland,Baltimore,4160 Pimlico Rd,1,3,October 28, 2019,39.299236,-76.609383
1525628,Maryland,Baltimore,800 block of W Lexington St,1,3,October 12, 2019,39.299236,-76.609383
1523204,Maryland,Baltimore,1600 block of W North Ave,1,3,October 9, 2019,39.299236,-76.609383
1493429,Maryland,Baltimore,900 block of N Monroe St,0,4,August 31, 2019,39.299236,-76.609383
1491495,Maryland,Baltimore,1600 block of E 29th St,1,3,August 30, 2019,39.299236,-76.609383
1490466,Maryland,Baltimore,2500 block of E Monument St,1,3,August 29, 2019,39.299236,-76.609383
1453350,Maryland,Baltimore,2800 block of Boarman Ave,1,3,July 20, 2019,39.299236,-76.609383
1437094,Maryland,Baltimore,1200 block of N Luzerne Ave,0,4,July 1, 2019,39.299236,-76.609383
1428595,Maryland,Baltimore,800 block of N Port St,1,4,June 22, 2019,39.299236,-76.609383
