Incident ID,State,City Or County,Address,# Killed,# Injured,Date,Year,Latitude,Longitude
1891461,Indiana,Indianapolis,8215 Center Run Road,1,3,December 31, 2020,39.791,-86.148003
1813872,Indiana,Indianapolis,5462 Massachusetts Ave,3,4,October 4, 2020,39.791,-86.148003
1787222,Indiana,Indianapolis,W 38th St and Graceland Ave,1,4,September 7, 2020,39.791,-86.148003
1668470,Indiana,Indianapolis,451 E Stop 11 Rd,0,4,April 29, 2020,39.791,-86.148003
1615155,Indiana,Indianapolis,4100 block of Shady Oak Dr,4,0,February 5, 2020,39.791,-86.148003
1886974,Illinois,Rockford,4007 E State St,3,3,December 26, 2020,42.259445,-89.064445
1772764,Illinois,Rockford,1300 block of 10th St,1,3,August 22, 2020,42.259445,-89.064445
1767747,Illinois,Rockford,3001 Harney Ct,0,4,August 18, 2020,42.259445,-89.064445
1679086,Illinois,Rockford,2914 W State St,1,4,May 13, 2020,42.259445,-89.064445
1639413,Illinois,Rockford,4104 Auburn St,0,4,March 13, 2020,42.259445,-89.064445
1886913,Florida,Tampa,N 20th St and E 7th Ave,2,2,December 26, 2020,27.964157,-82.452606
1850981,Florida,Tampa,1200 block of E Palifox St,2,4,November 12, 2020,27.964157,-82.452606
1849308,Florida,Tampa,N 50th St and Sligh Ave,1,7,November 10, 2020,27.964157,-82.452606
1793559,Florida,Tampa,5110 N 40th St,0,4,September 13, 2020,27.964157,-82.452606
1750611,Florida,Tampa,I-275 and Westshore Blvd,0,5,July 30, 2020,27.964157,-82.452606
1887059,Massachusetts,Lynn,Washington St and Quincy Ter,1,5,December 26, 2020,42.466763,-70.949493
1725407,Massachusetts,Lynn,134 Fayette St,1,4,July 4, 2020,42.466763,-70.949493
1886849,Florida,Miami,NW 61st St and NW 13th Ave,1,3,December 26, 2020,25.761681,-80.191788
1854149,Florida,Miami,200 block of S Biscayne River Dr,0,4,November 16, 2020,25.761681,-80.191788
1832014,Florida,Miami,1830 NW 50 St,1,3,October 22, 2020,25.761681,-80.191788
1785358,Florida,Miami,2000 block of NW 71st St,1,3,September 3, 2020,25.761681,-80.191788
1746160,Florida,Miami,2900 block of Northwest 51st St,1,3,July 25, 2020,25.761681,-80.191788
1886141,Florida,Lakeland,1500 block of Amos Ave,1,4,December 24, 2020,28.039465,-81.949806
1885251,Mississippi,Meridian,Jeffrey Acres Rd,5,0,December 22, 2020,43.614166,-116.398888
1882214,Connecticut,Bridgeport,456 Connecticut Ave,2,2,December 20, 2020,41.18639,-73.195557
1716944,Connecticut,Bridgeport,527 Huntington Rd,1,3,June 25, 2020,41.18639,-73.195557
1606554,Connecticut,Bridgeport,172 Golden Hill St,0,4,January 27, 2020,41.18639,-73.195557
1881213,Illinois,Chicago,8936 S Cottage Grove Ave,0,6,December 19, 2020,41.881832,-87.623177
1869748,Illinois,Chicago,4400 block of W Adams St,0,4,December 4, 2020,41.881832,-87.623177
1858455,Illinois,Chicago,700 block of E 101st St,1,3,November 22, 2020,41.881832,-87.623177
1857439,Illinois,Chicago,W 79th St and S Justine St,0,6,November 21, 2020,41.881832,-87.623177
1853615,Illinois,Chicago,700 block of S Pulaski Rd,0,4,November 16, 2020,41.881832,-87.623177
1854076,Illinois,Chicago,2700 block of S State St,0,4,November 16, 2020,41.881832,-87.623177
1839065,Illinois,Chicago,11613 S Vincennes Ave,1,3,October 30, 2020,41.881832,-87.623177
1828080,Illinois,Chicago,200 block of N Sacramento Blvd,1,4,October 18, 2020,41.881832,-87.623177
1820156,Illinois,Chicago,100 block of S Keeler Ave,1,3,October 10, 2020,41.881832,-87.623177
1805722,Illinois,Chicago,2400 block of W Lithuanian Plaza Ct,0,4,September 26, 2020,41.881832,-87.623177
1799748,Illinois,Chicago,12200 block of S May St,0,4,September 19, 2020,41.881832,-87.623177
1799703,Illinois,Chicago,6900 block of S Claremont Ave,0,4,September 19, 2020,41.881832,-87.623177
1796638,Illinois,Chicago,3500 block of W Lawrence Ave,0,5,September 15, 2020,41.881832,-87.623177
1794086,Illinois,Chicago,6100 block of S Throop St,1,3,September 13, 2020,41.881832,-87.623177
1792650,Illinois,Chicago,100 block of N Pine Ave,2,4,September 12, 2020,41.881832,-87.623177
1786920,Illinois,Chicago,S Kingston Ave and E 77th St,0,4,September 6, 2020,41.881832,-87.623177
1779718,Illinois,Chicago,11601 S Western Ave,1,4,August 30, 2020,41.881832,-87.623177
1773006,Illinois,Chicago,6600 S Halsted St,0,4,August 23, 2020,41.881832,-87.623177
1769489,Illinois,Chicago,8500 block of S Parnell Ave,0,6,August 19, 2020,41.881832,-87.623177
1756248,Illinois,Chicago,700 block of S Karlov Ave,0,4,August 5, 2020,41.881832,-87.623177
1752100,Illinois,Chicago,100 block of N Laporte Ave,1,4,August 1, 2020,41.881832,-87.623177
1747700,Illinois,Chicago,705 E 92nd Pl,1,4,July 27, 2020,41.881832,-87.623177
1744332,Illinois,Chicago,120th St and Prairie Ave,2,4,July 23, 2020,41.881832,-87.623177
1741838,Illinois,Chicago,1018 W 79th St,0,15,July 21, 2020,41.881832,-87.623177
1740615,Illinois,Chicago,S Lawndale Ave and W Douglas Blvd,0,5,July 20, 2020,41.881832,-87.623177
1740013,Illinois,Chicago,11300 block of South Carpenter St,2,3,July 19, 2020,41.881832,-87.623177
1738635,Illinois,Chicago,1600 block of S Keeler Ave,1,4,July 18, 2020,41.881832,-87.623177
1733188,Illinois,Chicago,700 block of W 66th Pl,1,3,July 12, 2020,41.881832,-87.623177
1732229,Illinois,Chicago,1100 block of N Lawndale Ave,1,4,July 12, 2020,41.881832,-87.623177
1727567,Illinois,Chicago,1305 W 76th St,0,6,July 6, 2020,41.881832,-87.623177
1725883,Illinois,Chicago,3700 block of W Jackson Blvd,0,4,July 5, 2020,41.881832,-87.623177
1725145,Illinois,Chicago,1500 block of S Millard Ave,1,5,July 5, 2020,41.881832,-87.623177
1725098,Illinois,Chicago,8300 block of S Kingston Ave,1,3,July 4, 2020,41.881832,-87.623177
1725081,Illinois,Chicago,6100 block of S Carpenter St,4,4,July 4, 2020,41.881832,-87.623177
1720761,Illinois,Chicago,350 W Chicago Ave,0,4,June 30, 2020,41.881832,-87.623177
1718966,Illinois,Chicago,3100 block of S Rhodes Ave,2,2,June 27, 2020,41.881832,-87.623177
1714504,Illinois,Chicago,9100 block of South Ellis Ave,0,4,June 23, 2020,41.881832,-87.623177
1712408,Illinois,Chicago,200 S Central Park Blvd,0,5,June 22, 2020,41.881832,-87.623177
1712386,Illinois,Chicago,5200 block of S Lowe Ave,0,4,June 22, 2020,41.881832,-87.623177
1711487,Illinois,Chicago,2600 block of W Potomac Ave,1,3,June 21, 2020,41.881832,-87.623177
1708432,Illinois,Chicago,1323 W 76th St,0,4,June 17, 2020,41.881832,-87.623177
1706710,Illinois,Chicago,W Diversey Ave,0,4,June 15, 2020,41.881832,-87.623177
1698987,Illinois,Chicago,50 block of S Seeley Ave,1,3,June 7, 2020,41.881832,-87.623177
1699667,Illinois,Chicago,3700 block of S State St,0,6,June 7, 2020,41.881832,-87.623177
1695645,Illinois,Chicago,8404 S Colfax Ave,0,4,June 2, 2020,41.881832,-87.623177
1688917,Illinois,Chicago,W Washington Blvd and N Hamlin Blvd,2,2,May 26, 2020,41.881832,-87.623177
1686685,Illinois,Chicago,3911 W Grenshaw St,1,3,May 23, 2020,41.881832,-87.623177
1671078,Illinois,Chicago,3700 W 13th St,0,5,May 3, 2020,41.881832,-87.623177
1654341,Illinois,Chicago,86th Street and Damen Avenue,1,3,April 7, 2020,41.881832,-87.623177
1635411,Illinois,Chicago,900 block of E 79th St,0,7,March 7, 2020,41.881832,-87.623177
1629042,Illinois,Chicago,1238 E 79th St,1,4,February 25, 2020,41.881832,-87.623177
1621821,Illinois,Chicago,6500 block of S King Dr,0,6,February 14, 2020,41.881832,-87.623177
1598447,Illinois,Chicago,234 N Pulaski Rd,0,5,January 16, 2020,41.881832,-87.623177
1877043,California,San Bernardino,900 block of N Sierra Way,1,3,December 12, 2020,34.115784,-117.302399
1808628,California,San Bernardino,900 block of N Sierra Way,1,3,September 27, 2020,34.115784,-117.302399
1877122,Mississippi,Jackson,1805 Hospital Dr,0,5,December 10, 2020,32.298756,-90.184807
1854207,Tennessee,Jackson,Honey Bear Cove,0,4,November 17, 2020,32.298756,-90.184807
1760207,Mississippi,Jackson,3600 block of Cromwell St,0,4,August 9, 2020,32.298756,-90.184807
1724219,Mississippi,Jackson,6340 Ridgewood Ct Dr,1,3,July 4, 2020,32.298756,-90.184807
1715616,Tennessee,Jackson,Melwood St,0,4,June 24, 2020,32.298756,-90.184807
1687381,Mississippi,Jackson,2300 block of Oakhurst Dr,1,4,May 23, 2020,32.298756,-90.184807
