Incident ID,State,City Or County,Address,# Killed,# Injured,Date,Year,Latitude,Longitude
2033605,Kentucky,Louisville,5200 block of Robinwood Rd,1,3,June 13, 2021,38.328732,-85.764771
2031976,Georgia,Savannah,200 block of Avery St,2,6,June 11, 2021,32.076176,-81.088371
2030639,New York,Yonkers,150 Elm St,0,4,June 10, 2021,40.93121,-73.89875
2027046,Florida,Homestead,12550 SW 282nd St,3,3,June 7, 2021,25.468721,-80.477554
2026713,Utah,Salt Lake City,1359 N General Dr,1,4,June 6, 2021,40.758701,-111.876183
2025891,Michigan,Muskegon,1675 E. Sherman Blvd,1,3,June 4, 2021,43.224194,-86.235809
2019622,Florida,Hialeah,7630 NW 186th St,3,20,May 30, 2021,25.857595,-80.278107
2012765,South Carolina,North Charleston,Piggly Wiggly Dr and W Jimtown Dr,1,14,May 22, 2021,32.854622,-79.974808
2011610,Indiana,Fort Wayne,2177 Eden St,1,4,May 22, 2021,41.093842,-85.139236
2011482,New Jersey,Jersey City,16 Brinkerhoff St,2,4,May 21, 2021,40.719074,-74.050552
2010083,Indiana,Evansville,800 block of Shadewood Ave,1,3,May 20, 2021,37.977222,-87.550552
1999125,Colorado,Colorado Springs,2828 Preakness Way,7,0,May 9, 2021,38.846127,-104.800644
1999193,Arizona,Phoenix,122 N 2nd St,1,7,May 9, 2021,33.448376,-112.074036
1954950,Arizona,Phoenix,6215 W Elm St,4,1,March 16, 2021,33.448376,-112.074036
1904063,Arizona,Phoenix,2340 W Northern Ave,0,5,January 17, 2021,33.448376,-112.074036
1904036,Arizona,Phoenix,2236 E University Dr,1,6,January 17, 2021,33.448376,-112.074036
1999307,California,Compton,15100 block of S Lime Ave,2,2,May 8, 2021,33.895847,-118.22007
1946991,California,Compton,600 block of N Long Beach Blvd,1,4,March 5, 2021,33.895847,-118.22007
1992410,New York,New Rochelle,Horton Ave and Brook St,1,4,May 1, 2021,40.922794,-73.791809
1989023,Alabama,Fairfield,200 block of Glen Crest Dr,1,4,April 27, 2021,38.257778,-122.054169
1986593,Arkansas,Little Rock,1900 E 6th St,1,3,April 25, 2021,34.746483,-92.289597
1981353,Louisiana,Shreveport,3701 Hearne Ave,0,6,April 18, 2021,32.523659,-93.763504
1941444,Louisiana,Shreveport,4914 Mansfield Rd,0,5,February 28, 2021,32.523659,-93.763504
1893601,Louisiana,Shreveport,6900 block of Jewella Ave,2,3,January 3, 2021,32.523659,-93.763504
1980689,Wisconsin,Kenosha,1548 Sheridan Rd,3,3,April 18, 2021,42.588081,-87.822899
1979869,Louisiana,Lake Charles,4101 5th Ave,1,3,April 15, 2021,30.212942,-93.21891
1978616,Florida,Pensacola,700 Truman Ave,0,6,April 15, 2021,30.433283,-87.240372
1975405,Connecticut,Waterbury,36 Gasparri Ln,0,4,April 10, 2021,41.55611,-73.041389
1971410,South Carolina,Rock Hill,4456 Marshall Rd,7,0,April 7, 2021,34.924866,-81.025078
1973435,Ohio,Dayton,Hoover Ave and Summit Square,0,4,April 7, 2021,39.758949,-84.191605
1969633,Texas,Beaumont,6035 S M L King Jr Pkwy,0,4,April 4, 2021,30.080173,-94.126556
1967893,Alabama,Tuscaloosa,2314 4th St,0,5,April 3, 2021,33.189281,-87.565155
1969221,Texas,Allen,1517 Pine Bluff Dr,6,0,April 3, 2021,33.103172,-96.670547
1968553,Florida,Quincy,2114 Pat Thomas Parkway,0,7,April 3, 2021,42.255459,-71.002579
1966181,California,Orange,202 West Lincoln Ave,4,2,March 31, 2021,33.787914,-117.853104
1962562,Virginia,Virginia Beach,2000 block of Atlantic Ave,0,9,March 26, 2021,36.86314,-76.015778
1958652,Colorado,Boulder,3600 Table Mesa Dr,10,1,March 22, 2021,40.014984,-105.270546
1956001,California,Stockton,Oro Ave and E Main St,0,5,March 17, 2021,37.961632,-121.275604
1953202,Florida,Tampa,10101 US-92,0,4,March 14, 2021,27.964157,-82.452606
1894979,Florida,Tampa,1225 S 78th St,0,5,January 4, 2021,27.964157,-82.452606
1948233,Florida,Clearwater,US-19 ALT and Drew St,1,3,March 8, 2021,27.972572,-82.796745
1947241,California,Yuba City,Countryside Dr and Littlejohn Dr,2,3,March 6, 2021,39.136986,-121.607841
